Movie,Worldwide,India Net,India Gross,Overseas,Budget,Verdict
Welcome,119.0,70.0,94.0,24.0,48.0,SuperHit
Dishoom,119.0,70.0,94.0,25.0,55.0,Average
Student Of The Year,96.0,70.0,92.0,4.0,59.0,Hit
Raaz 3,99.0,69.0,94.0,4.0,28.0,SuperHit
Hindi Medium,334.0,69.0,96.0,237.0,23.0,SuperHit
Bhediya,96.0,68.0,81.0,15.0,60.0,Average
Kedarnath,96.0,68.0,85.0,11.0,50.0,Hit
Dear Zindagi,136.0,68.0,92.0,43.0,30.0,Hit
Singh Is Kinng,122.0,67.0,94.0,28.0,50.0,SuperHit
Chak De India,109.0,67.0,91.0,17.0,20.0,SuperHit
Tamasha,136.0,67.0,87.0,49.0,87.0,Flop
Drishyam,110.0,67.0,90.0,19.0,48.0,Hit
Special 26,103.0,66.0,90.0,12.0,45.0,Hit
Love Aaj Kal,117.0,66.0,86.0,31.0,50.0,Hit
Article 15,94.0,66.0,79.0,15.0,25.0,SuperHit
R... Rajkumar,100.0,65.0,88.0,11.0,56.0,Average
Samrat Prithviraj,85.0,65.0,77.0,8.0,220.0,Disaster
Parmanu The Story Of Pokhran,91.0,65.0,84.0,7.0,45.0,Hit
Pink,104.0,65.0,88.0,15.0,23.0,Hit
Pyaar Ka Punchnama 2,88.0,64.0,86.0,1.0,22.0,SuperHit
Ajab Prem Ki Ghazab Kahani,101.0,64.0,83.0,18.0,25.0,SuperHit
Satyagraha,91.0,63.0,86.0,4.0,60.0,Average
Humshakals,103.0,63.0,85.0,17.0,64.0,Below Average
Secret Superstar,912.0,63.0,81.0,831.0,15.0,SuperHit
Taare Zameen Par,98.0,62.0,83.0,15.0,12.0,SuperHit
Shubh Mangal Zyada Saavdhan,83.0,62.0,73.0,10.0,35.0,Average
Rockstar,108.0,61.0,83.0,25.0,60.0,Average
Laal Singh Chaddha,133.0,61.0,72.0,61.0,180.0,Disaster
Once Upon Ay Time In Mumbai Dobaara!,91.0,61.0,82.0,9.0,75.0,Flop
Tees Maar Khan,100.0,60.0,82.0,17.0,35.0,Hit
Queen,93.0,60.0,82.0,10.0,20.0,SuperHit
Wanted,87.0,60.0,81.0,5.0,50.0,Hit
Race,103.0,60.0,84.0,18.0,45.0,Hit
Udta Punjab,97.0,60.0,83.0,13.0,47.0,Hit
Half Girlfriend,97.0,60.0,81.0,16.0,58.0,Average
Befikre,99.0,60.0,83.0,15.0,64.0,Below Average
Raanjhanaa,93.0,60.0,81.0,12.0,30.0,Hit
Partner,99.0,60.0,83.0,16.0,28.0,SuperHit
Besharam,95.0,59.0,80.0,14.0,83.0,Flop
Malang,80.0,59.0,70.0,10.0,50.0,Above Average
Shootout at Wadala,83.0,58.0,79.0,4.0,45.0,Above Average
Mere Brother Ki Dulhan,94.0,58.0,78.0,15.0,28.0,Hit
Mohenjo Daro,107.0,58.0,78.0,29.0,120.0,Flop
Action Jackson,88.0,57.0,78.0,10.0,80.0,Flop
Mary Kom,91.0,56.0,76.0,15.0,30.0,Hit
Haider,79.0,55.0,75.0,3.0,45.0,Above Average
Jodhaa Akbar,106.0,55.0,75.0,31.0,45.0,Above Average
Mubarakan,93.0,55.0,76.0,16.0,63.0,Flop
Once Upon a Time in Mumbaai,85.0,55.0,74.0,10.0,36.0,Hit
Jaane Tu... Ya Jaane Na,82.0,55.0,74.0,7.0,15.0,SuperHit
Yamla Pagla Deewana,88.0,55.0,74.0,14.0,28.0,Hit
Kabhi Khushi Kabhie Gham,119.0,54.0,77.0,42.0,40.0,Blockbuster
Boss,84.0,54.0,73.0,11.0,70.0,Flop
Phantom,84.0,54.0,73.0,11.0,70.0,Flop
Jagga Jasoos,83.0,54.0,75.0,8.0,125.0,Flop
Dilwale Dulhania Le Jayenge,102.0,53.0,89.0,13.0,4.0,All Time Blockbuster
Rang De Basanti,96.0,52.0,74.0,22.0,28.0,Hit
Heropanti,75.0,52.0,71.0,4.0,25.0,Hit
Ki & Ka,99.0,52.0,70.0,28.0,30.0,Hit
102 Not Out,115.0,52.0,67.0,48.0,34.0,Hit
Fanaa,102.0,51.0,70.0,32.0,30.0,SuperHit
Hate Story 3,75.0,51.0,69.0,5.0,20.0,Hit
Delhi Belly,87.0,51.0,69.0,17.0,23.0,Hit
Kahaani,79.0,51.0,69.0,9.0,15.0,Hit
Golmaal Returns,82.0,51.0,69.0,12.0,35.0,SuperHit
Main Tera Hero,77.0,50.0,68.0,8.0,40.0,Hit
Sachin A Billion Dreams,70.0,50.0,65.0,5.0,39.0,Average
Sachin: A Billion Dreams,70.0,50.0,65.0,5.0,39.0,Average
Bachchhan Paandey,70.0,50.0,59.0,10.0,165.0,Disaster
Don: The Chase Begins Again,104.0,50.0,67.0,36.0,35.0,Hit
Badlapur,78.0,50.0,67.0,11.0,20.0,Hit
Kis Kisko Pyaar Karoon,72.0,49.0,67.0,4.0,18.0,Hit
Kai Po Che!,74.0,49.0,66.0,7.0,30.0,Hit
Bhool Bhulaiyaa,82.0,49.0,68.0,14.0,32.0,SuperHit
Kites,87.0,49.0,66.0,21.0,65.0,Flop
Raksha Bandhan,68.0,48.0,57.0,11.0,70.0,Below Average
De Dana Dan,81.0,48.0,64.0,17.0,60.0,Average
Marjaavaan,62.0,48.0,55.0,6.0,50.0,Average
Murder 2,67.0,47.0,64.0,3.0,13.0,SuperHit
Himmatwala,65.0,47.0,64.0,1.0,68.0,Flop
Mardaani 2,67.0,47.0,57.0,10.0,30.0,Hit
Heyy Babyy,83.0,47.0,63.0,20.0,30.0,Hit
Kambakkht Ishq,85.0,47.0,63.0,22.0,50.0,Average
Koi... Mil Gaya,80.0,46.0,70.0,9.0,28.0,SuperHit
Kuch Kuch Hota Hai,91.0,46.0,63.0,27.0,14.0,All Time Blockbuster
